Enumerating all non-terminal states for value-error benchmarking...
  4520 states enumerated.
Run 'base': iterations=300, temperature_moves=4, noise_frac=0.25
iter   68/300: games={'X': 4, 'O': 1, 'draw': 15}, buffer=4000, value_loss=0.0898, policy_loss=0.6890, value_error_vs_solver=0.6558 (X=0.6306, O=0.7406), elapsed=2.3s
iter   69/300: games={'X': 2, 'O': 1, 'draw': 17}, buffer=4000, value_loss=0.0916, policy_loss=0.6872, value_error_vs_solver=0.6055 (X=0.5964, O=0.7104), elapsed=3.2s
iter   70/300: games={'X': 6, 'O': 1, 'draw': 13}, buffer=4000, value_loss=0.0898, policy_loss=0.6805, value_error_vs_solver=0.6681 (X=0.6789, O=0.6478), elapsed=3.3s
iter   71/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0886, policy_loss=0.6712, value_error_vs_solver=0.6417 (X=0.6263, O=0.6304), elapsed=2.5s
iter   72/300: games={'X': 3, 'O': 1, 'draw': 16}, buffer=4000, value_loss=0.0887, policy_loss=0.6781, value_error_vs_solver=0.6183 (X=0.6359, O=0.6334), elapsed=2.5s
iter   73/300: games={'X': 2, 'O': 0, 'draw': 18}, buffer=4000, value_loss=0.0820, policy_loss=0.6598, value_error_vs_solver=0.6159 (X=0.6052, O=0.6001), elapsed=2.6s
iter   74/300: games={'X': 2, 'O': 0, 'draw': 18}, buffer=4000, value_loss=0.0832, policy_loss=0.6612, value_error_vs_solver=0.6516 (X=0.5635, O=0.6040), elapsed=2.5s
iter   75/300: games={'X': 2, 'O': 0, 'draw': 18}, buffer=4000, value_loss=0.0825, policy_loss=0.6512, value_error_vs_solver=0.5986 (X=0.5903, O=0.6480), elapsed=2.4s
iter   76/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0791, policy_loss=0.6380, value_error_vs_solver=0.5796 (X=0.6014, O=0.6334), elapsed=2.9s
iter   77/300: games={'X': 1, 'O': 0, 'draw': 19}, buffer=4000, value_loss=0.0787, policy_loss=0.6505, value_error_vs_solver=0.6287 (X=0.6025, O=0.6064), elapsed=2.2s
iter   78/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0813, policy_loss=0.6588, value_error_vs_solver=0.5815 (X=0.5527, O=0.6346), elapsed=2.6s
iter   79/300: games={'X': 1, 'O': 0, 'draw': 19}, buffer=4000, value_loss=0.0740, policy_loss=0.6502, value_error_vs_solver=0.5728 (X=0.5444, O=0.6448), elapsed=2.4s
iter   80/300: games={'X': 1, 'O': 1, 'draw': 18}, buffer=4000, value_loss=0.0750, policy_loss=0.6398, value_error_vs_solver=0.5968 (X=0.5892, O=0.6268), elapsed=2.5s
iter   81/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0716, policy_loss=0.6310, value_error_vs_solver=0.6183 (X=0.5541, O=0.6846), elapsed=2.5s
iter   82/300: games={'X': 2, 'O': 1, 'draw': 17}, buffer=4000, value_loss=0.0709, policy_loss=0.6429, value_error_vs_solver=0.5444 (X=0.5908, O=0.6379), elapsed=2.5s
iter   83/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0718, policy_loss=0.6301, value_error_vs_solver=0.6322 (X=0.5809, O=0.6867), elapsed=2.5s
iter   84/300: games={'X': 2, 'O': 0, 'draw': 18}, buffer=4000, value_loss=0.0723, policy_loss=0.6305, value_error_vs_solver=0.5852 (X=0.6463, O=0.6404), elapsed=3.1s
iter   85/300: games={'X': 6, 'O': 1, 'draw': 13}, buffer=4000, value_loss=0.0779, policy_loss=0.6275, value_error_vs_solver=0.5842 (X=0.6269, O=0.6269), elapsed=3.3s
iter   86/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0789, policy_loss=0.6310, value_error_vs_solver=0.6665 (X=0.5997, O=0.6126), elapsed=2.5s
iter   87/300: games={'X': 2, 'O': 1, 'draw': 17}, buffer=4000, value_loss=0.0768, policy_loss=0.6408, value_error_vs_solver=0.5822 (X=0.5868, O=0.6551), elapsed=2.5s
iter   88/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0777, policy_loss=0.6311, value_error_vs_solver=0.5662 (X=0.5438, O=0.6611), elapsed=2.5s
iter   89/300: games={'X': 3, 'O': 1, 'draw': 16}, buffer=4000, value_loss=0.0809, policy_loss=0.6323, value_error_vs_solver=0.6057 (X=0.5830, O=0.6586), elapsed=2.6s
iter   90/300: games={'X': 2, 'O': 0, 'draw': 18}, buffer=4000, value_loss=0.0797, policy_loss=0.6359, value_error_vs_solver=0.5681 (X=0.5532, O=0.7293), elapsed=2.1s
iter   91/300: games={'X': 2, 'O': 1, 'draw': 17}, buffer=4000, value_loss=0.0770, policy_loss=0.6228, value_error_vs_solver=0.6504 (X=0.5539, O=0.6349), elapsed=2.4s
iter   92/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0772, policy_loss=0.6278, value_error_vs_solver=0.6132 (X=0.6449, O=0.7158), elapsed=2.2s
iter   93/300: games={'X': 6, 'O': 0, 'draw': 14}, buffer=4000, value_loss=0.0778, policy_loss=0.6256, value_error_vs_solver=0.5839 (X=0.5697, O=0.6674), elapsed=2.1s
iter   94/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0830, policy_loss=0.6337, value_error_vs_solver=0.6536 (X=0.5192, O=0.6530), elapsed=2.0s
iter   95/300: games={'X': 6, 'O': 1, 'draw': 13}, buffer=4000, value_loss=0.0828, policy_loss=0.6265, value_error_vs_solver=0.5993 (X=0.6302, O=0.6837), elapsed=2.0s
iter   96/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0815, policy_loss=0.6292, value_error_vs_solver=0.5896 (X=0.6131, O=0.6544), elapsed=2.0s
iter   97/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0833, policy_loss=0.6405, value_error_vs_solver=0.6098 (X=0.5965, O=0.6770), elapsed=2.2s
iter   98/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0857, policy_loss=0.6423, value_error_vs_solver=0.6312 (X=0.5218, O=0.6350), elapsed=2.0s
iter   99/300: games={'X': 1, 'O': 0, 'draw': 19}, buffer=4000, value_loss=0.0855, policy_loss=0.6344, value_error_vs_solver=0.6616 (X=0.5783, O=0.7349), elapsed=2.7s
iter  100/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0829, policy_loss=0.6442, value_error_vs_solver=0.6024 (X=0.5842, O=0.6951), elapsed=3.0s
iter  101/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0835, policy_loss=0.6315, value_error_vs_solver=0.6556 (X=0.5344, O=0.7150), elapsed=2.6s
iter  102/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0866, policy_loss=0.6413, value_error_vs_solver=0.6012 (X=0.6201, O=0.6370), elapsed=2.1s
iter  103/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0876, policy_loss=0.6401, value_error_vs_solver=0.6312 (X=0.5682, O=0.6546), elapsed=1.9s
iter  104/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0860, policy_loss=0.6278, value_error_vs_solver=0.5465 (X=0.5471, O=0.6886), elapsed=2.1s
iter  105/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0894, policy_loss=0.6372, value_error_vs_solver=0.6063 (X=0.5871, O=0.5637), elapsed=2.1s
iter  106/300: games={'X': 1, 'O': 2, 'draw': 17}, buffer=4000, value_loss=0.0884, policy_loss=0.6396, value_error_vs_solver=0.5984 (X=0.5718, O=0.6266), elapsed=2.2s
iter  107/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0869, policy_loss=0.6282, value_error_vs_solver=0.5883 (X=0.5336, O=0.6365), elapsed=2.3s
iter  108/300: games={'X': 3, 'O': 1, 'draw': 16}, buffer=4000, value_loss=0.0883, policy_loss=0.6342, value_error_vs_solver=0.5974 (X=0.5417, O=0.6345), elapsed=2.2s
iter  109/300: games={'X': 5, 'O': 1, 'draw': 14}, buffer=4000, value_loss=0.0886, policy_loss=0.6361, value_error_vs_solver=0.5489 (X=0.5991, O=0.6353), elapsed=2.3s
iter  110/300: games={'X': 5, 'O': 0, 'draw': 15}, buffer=4000, value_loss=0.0907, policy_loss=0.6399, value_error_vs_solver=0.5958 (X=0.5224, O=0.5876), elapsed=2.1s
iter  111/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0874, policy_loss=0.6437, value_error_vs_solver=0.5369 (X=0.5497, O=0.6944), elapsed=2.6s
iter  112/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0914, policy_loss=0.6328, value_error_vs_solver=0.6432 (X=0.5768, O=0.5474), elapsed=2.4s
iter  113/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.0875, policy_loss=0.6350, value_error_vs_solver=0.6073 (X=0.5120, O=0.6600), elapsed=2.2s
iter  114/300: games={'X': 2, 'O': 2, 'draw': 16}, buffer=4000, value_loss=0.0917, policy_loss=0.6395, value_error_vs_solver=0.5825 (X=0.5916, O=0.6548), elapsed=2.4s
iter  115/300: games={'X': 2, 'O': 1, 'draw': 17}, buffer=4000, value_loss=0.0910, policy_loss=0.6280, value_error_vs_solver=0.5775 (X=0.5315, O=0.6686), elapsed=2.3s
iter  116/300: games={'X': 2, 'O': 0, 'draw': 18}, buffer=4000, value_loss=0.0894, policy_loss=0.6293, value_error_vs_solver=0.5814 (X=0.5372, O=0.6323), elapsed=2.3s
iter  117/300: games={'X': 1, 'O': 0, 'draw': 19}, buffer=4000, value_loss=0.0887, policy_loss=0.6251, value_error_vs_solver=0.5870 (X=0.5089, O=0.6300), elapsed=2.1s
iter  118/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0868, policy_loss=0.6263, value_error_vs_solver=0.5795 (X=0.5714, O=0.5702), elapsed=2.3s
iter  119/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0788, policy_loss=0.6129, value_error_vs_solver=0.5829 (X=0.5591, O=0.6532), elapsed=2.3s
iter  120/300: games={'X': 1, 'O': 1, 'draw': 18}, buffer=4000, value_loss=0.0746, policy_loss=0.6062, value_error_vs_solver=0.6113 (X=0.5668, O=0.5907), elapsed=2.2s
iter  121/300: games={'X': 1, 'O': 0, 'draw': 19}, buffer=4000, value_loss=0.0706, policy_loss=0.6121, value_error_vs_solver=0.5486 (X=0.5422, O=0.5771), elapsed=2.2s
iter  122/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0712, policy_loss=0.6155, value_error_vs_solver=0.6219 (X=0.5123, O=0.6303), elapsed=2.3s
iter  123/300: games={'X': 2, 'O': 1, 'draw': 17}, buffer=4000, value_loss=0.0744, policy_loss=0.6175, value_error_vs_solver=0.5472 (X=0.5745, O=0.5883), elapsed=2.1s
iter  124/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0702, policy_loss=0.6124, value_error_vs_solver=0.5605 (X=0.4645, O=0.6243), elapsed=1.9s
iter  125/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0776, policy_loss=0.6264, value_error_vs_solver=0.5568 (X=0.5369, O=0.6559), elapsed=2.4s
iter  126/300: games={'X': 3, 'O': 2, 'draw': 15}, buffer=4000, value_loss=0.0742, policy_loss=0.6312, value_error_vs_solver=0.5091 (X=0.4550, O=0.5639), elapsed=2.6s
iter  127/300: games={'X': 1, 'O': 0, 'draw': 19}, buffer=4000, value_loss=0.0728, policy_loss=0.6096, value_error_vs_solver=0.5373 (X=0.5156, O=0.6116), elapsed=2.3s
iter  128/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0712, policy_loss=0.6151, value_error_vs_solver=0.5994 (X=0.4807, O=0.5780), elapsed=2.0s
iter  129/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0684, policy_loss=0.6174, value_error_vs_solver=0.5651 (X=0.4802, O=0.5743), elapsed=2.2s
iter  130/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0682, policy_loss=0.6119, value_error_vs_solver=0.5643 (X=0.4951, O=0.5943), elapsed=2.3s
iter  131/300: games={'X': 2, 'O': 1, 'draw': 17}, buffer=4000, value_loss=0.0668, policy_loss=0.6177, value_error_vs_solver=0.5542 (X=0.4760, O=0.6289), elapsed=2.1s
