Loading solver states for value-error benchmarking...
Run 'catchup': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter   39/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer_x=4365, buffer_o=3867, x_frozen=False, gap=-0.0224, value_loss_o=0.3338, policy_loss_o=0.9398, value_error_vs_solver=0.6280 (X=0.6392, O=0.6168), elapsed=6.2s
iter   40/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer_x=4460, buffer_o=3946, x_frozen=False, gap=-0.0482, value_loss_o=0.3294, policy_loss_o=0.9431, value_error_vs_solver=0.5749 (X=0.5990, O=0.5508), elapsed=5.5s
iter   41/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=4552, buffer_o=4019, x_frozen=False, gap=-0.0018, value_loss_o=0.3265, policy_loss_o=0.9491, value_error_vs_solver=0.5989 (X=0.5998, O=0.5979), elapsed=4.6s
iter   42/300: games={'X': 16, 'O': 4, 'draw': 0}, buffer_x=4628, buffer_o=4079, x_frozen=False, gap=0.0282, value_loss_o=0.3281, policy_loss_o=0.9525, value_error_vs_solver=0.5352 (X=0.5211, O=0.5493), elapsed=4.6s
iter   43/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=4709, buffer_o=4140, x_frozen=False, gap=-0.0325, value_loss_o=0.3215, policy_loss_o=0.9562, value_error_vs_solver=0.5990 (X=0.6152, O=0.5828), elapsed=3.7s
iter   44/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=4784, buffer_o=4195, x_frozen=False, gap=-0.0165, value_loss_o=0.3162, policy_loss_o=0.9593, value_error_vs_solver=0.5922 (X=0.6004, O=0.5839), elapsed=3.9s
iter   45/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=4864, buffer_o=4256, x_frozen=True, gap=0.0522, value_loss_o=0.3105, policy_loss_o=0.9620, value_error_vs_solver=0.6050 (X=0.5789, O=0.6311), elapsed=3.6s
iter   46/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=4944, buffer_o=4317, x_frozen=True, gap=0.1040, value_loss_o=0.3081, policy_loss_o=0.9659, value_error_vs_solver=0.5655 (X=0.5135, O=0.6175), elapsed=4.0s
iter   47/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=5018, buffer_o=4371, x_frozen=False, gap=-0.0062, value_loss_o=0.3017, policy_loss_o=0.9721, value_error_vs_solver=0.5549 (X=0.5580, O=0.5518), elapsed=4.2s
iter   48/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer_x=5093, buffer_o=4428, x_frozen=False, gap=-0.0063, value_loss_o=0.2985, policy_loss_o=0.9744, value_error_vs_solver=0.5411 (X=0.5442, O=0.5380), elapsed=4.4s
