Loading solver states for value-error benchmarking...
iter  123/300: games={'X': 12, 'O': 1, 'draw': 7}, buffer=8000, value_loss=0.0825, policy_loss=0.3172, value_error_vs_solver=0.5313 (X=0.5074, O=0.5518), elapsed=5.3s
iter  124/300: games={'X': 9, 'O': 3, 'draw': 8}, buffer=8000, value_loss=0.0842, policy_loss=0.3194, value_error_vs_solver=0.5742 (X=0.4909, O=0.4796), elapsed=5.9s
iter  125/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.0830, policy_loss=0.3200, value_error_vs_solver=0.5377 (X=0.5405, O=0.5228), elapsed=4.0s
iter  126/300: games={'X': 14, 'O': 0, 'draw': 6}, buffer=8000, value_loss=0.0830, policy_loss=0.3105, value_error_vs_solver=0.5247 (X=0.5608, O=0.4354), elapsed=6.1s
iter  127/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer=8000, value_loss=0.0861, policy_loss=0.3180, value_error_vs_solver=0.5336 (X=0.5889, O=0.5247), elapsed=5.5s
iter  128/300: games={'X': 11, 'O': 0, 'draw': 9}, buffer=8000, value_loss=0.0828, policy_loss=0.3062, value_error_vs_solver=0.4976 (X=0.5115, O=0.5145), elapsed=6.0s
iter  129/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer=8000, value_loss=0.0857, policy_loss=0.3132, value_error_vs_solver=0.6102 (X=0.5043, O=0.6272), elapsed=7.6s
iter  130/300: games={'X': 11, 'O': 1, 'draw': 8}, buffer=8000, value_loss=0.0862, policy_loss=0.3187, value_error_vs_solver=0.5609 (X=0.5624, O=0.4875), elapsed=6.5s
iter  131/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.0854, policy_loss=0.3164, value_error_vs_solver=0.5719 (X=0.5465, O=0.4945), elapsed=4.6s
iter  132/300: games={'X': 10, 'O': 1, 'draw': 9}, buffer=8000, value_loss=0.0866, policy_loss=0.3068, value_error_vs_solver=0.5840 (X=0.4953, O=0.5120), elapsed=4.2s
iter  133/300: games={'X': 14, 'O': 0, 'draw': 6}, buffer=8000, value_loss=0.0794, policy_loss=0.3058, value_error_vs_solver=0.5273 (X=0.5717, O=0.5253), elapsed=4.3s
iter  134/300: games={'X': 12, 'O': 0, 'draw': 8}, buffer=8000, value_loss=0.0818, policy_loss=0.3095, value_error_vs_solver=0.5435 (X=0.5877, O=0.5519), elapsed=4.5s
iter  135/300: games={'X': 11, 'O': 3, 'draw': 6}, buffer=8000, value_loss=0.0828, policy_loss=0.3070, value_error_vs_solver=0.5400 (X=0.5331, O=0.4608), elapsed=4.9s
iter  136/300: games={'X': 13, 'O': 0, 'draw': 7}, buffer=8000, value_loss=0.0858, policy_loss=0.3132, value_error_vs_solver=0.5164 (X=0.5840, O=0.5500), elapsed=3.8s
iter  137/300: games={'X': 13, 'O': 0, 'draw': 7}, buffer=8000, value_loss=0.0825, policy_loss=0.3074, value_error_vs_solver=0.5334 (X=0.5053, O=0.5795), elapsed=4.7s
iter  138/300: games={'X': 14, 'O': 0, 'draw': 6}, buffer=8000, value_loss=0.0790, policy_loss=0.3082, value_error_vs_solver=0.5681 (X=0.5932, O=0.4901), elapsed=5.3s
iter  139/300: games={'X': 12, 'O': 1, 'draw': 7}, buffer=8000, value_loss=0.0811, policy_loss=0.3076, value_error_vs_solver=0.5465 (X=0.5442, O=0.4655), elapsed=7.4s
iter  140/300: games={'X': 10, 'O': 1, 'draw': 9}, buffer=8000, value_loss=0.0788, policy_loss=0.3107, value_error_vs_solver=0.5256 (X=0.5694, O=0.5466), elapsed=4.4s
