Loading solver states for value-error benchmarking...
Run 'catchup_wr': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None, imitate_teacher_policy=False
iter   61/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer_x=7523, buffer_o=6703, x_frozen=True, o_win_rate_rolling=0.1100, value_loss_o=0.2643, policy_loss_o=0.7683, value_error_vs_solver=0.6264 (X=0.5941, O=0.6587), elapsed=14.7s
iter   62/300: games={'X': 7, 'O': 2, 'draw': 11}, buffer_x=7678, buffer_o=6851, x_frozen=True, o_win_rate_rolling=0.1050, value_loss_o=0.2533, policy_loss_o=0.7551, value_error_vs_solver=0.6088 (X=0.6174, O=0.6002), elapsed=18.7s
iter   63/300: games={'X': 7, 'O': 4, 'draw': 9}, buffer_x=7813, buffer_o=6975, x_frozen=True, o_win_rate_rolling=0.1150, value_loss_o=0.2533, policy_loss_o=0.7519, value_error_vs_solver=0.6488 (X=0.6127, O=0.6848), elapsed=16.9s
iter   64/300: games={'X': 12, 'O': 3, 'draw': 5}, buffer_x=7922, buffer_o=7071, x_frozen=True, o_win_rate_rolling=0.1200, value_loss_o=0.2498, policy_loss_o=0.7475, value_error_vs_solver=0.6344 (X=0.6067, O=0.6622), elapsed=13.2s
iter   65/300: games={'X': 10, 'O': 4, 'draw': 6}, buffer_x=8000, buffer_o=7189, x_frozen=True, o_win_rate_rolling=0.1300, value_loss_o=0.2481, policy_loss_o=0.7450, value_error_vs_solver=0.6284 (X=0.6540, O=0.6029), elapsed=16.1s
iter   66/300: games={'X': 11, 'O': 0, 'draw': 9}, buffer_x=8000, buffer_o=7328, x_frozen=True, o_win_rate_rolling=0.1100, value_loss_o=0.2442, policy_loss_o=0.7370, value_error_vs_solver=0.6418 (X=0.6334, O=0.6502), elapsed=15.9s
iter   67/300: games={'X': 5, 'O': 1, 'draw': 14}, buffer_x=8000, buffer_o=7492, x_frozen=True, o_win_rate_rolling=0.1150, value_loss_o=0.2430, policy_loss_o=0.7260, value_error_vs_solver=0.5793 (X=0.5740, O=0.5846), elapsed=18.2s
iter   68/300: games={'X': 10, 'O': 1, 'draw': 9}, buffer_x=8000, buffer_o=7622, x_frozen=True, o_win_rate_rolling=0.0950, value_loss_o=0.2385, policy_loss_o=0.7224, value_error_vs_solver=0.5620 (X=0.5727, O=0.5512), elapsed=15.4s
iter   69/300: games={'X': 11, 'O': 0, 'draw': 9}, buffer_x=8000, buffer_o=7754, x_frozen=True, o_win_rate_rolling=0.0950, value_loss_o=0.2339, policy_loss_o=0.7146, value_error_vs_solver=0.6087 (X=0.5866, O=0.6307), elapsed=15.1s
iter   70/300: games={'X': 6, 'O': 4, 'draw': 10}, buffer_x=8000, buffer_o=7895, x_frozen=True, o_win_rate_rolling=0.1000, value_loss_o=0.2354, policy_loss_o=0.7087, value_error_vs_solver=0.6339 (X=0.6512, O=0.6166), elapsed=17.4s
iter   71/300: games={'X': 8, 'O': 4, 'draw': 8}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.1150, value_loss_o=0.2335, policy_loss_o=0.7040, value_error_vs_solver=0.6027 (X=0.5824, O=0.6229), elapsed=13.0s
iter   72/300: games={'X': 8, 'O': 1, 'draw': 11}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.1100, value_loss_o=0.2246, policy_loss_o=0.6895, value_error_vs_solver=0.6303 (X=0.6504, O=0.6102), elapsed=17.3s
iter   73/300: games={'X': 8, 'O': 1, 'draw': 11}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.0950, value_loss_o=0.2165, policy_loss_o=0.6728, value_error_vs_solver=0.5953 (X=0.5607, O=0.6299), elapsed=19.6s
iter   74/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.0950, value_loss_o=0.2131, policy_loss_o=0.6653, value_error_vs_solver=0.5617 (X=0.5590, O=0.5644), elapsed=8.3s
iter   75/300: games={'X': 8, 'O': 4, 'draw': 8}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.0950, value_loss_o=0.2042, policy_loss_o=0.6516, value_error_vs_solver=0.5840 (X=0.5591, O=0.6090), elapsed=15.9s
iter   76/300: games={'X': 10, 'O': 2, 'draw': 8}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.1050, value_loss_o=0.1959, policy_loss_o=0.6399, value_error_vs_solver=0.5976 (X=0.5765, O=0.6188), elapsed=12.6s
iter   77/300: games={'X': 8, 'O': 0, 'draw': 12}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.1000, value_loss_o=0.1868, policy_loss_o=0.6236, value_error_vs_solver=0.6001 (X=0.6426, O=0.5576), elapsed=15.0s
iter   78/300: games={'X': 10, 'O': 4, 'draw': 6}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.1150, value_loss_o=0.1802, policy_loss_o=0.6129, value_error_vs_solver=0.5741 (X=0.5868, O=0.5614), elapsed=10.7s
iter   79/300: games={'X': 12, 'O': 1, 'draw': 7}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.1200, value_loss_o=0.1711, policy_loss_o=0.6038, value_error_vs_solver=0.5839 (X=0.5571, O=0.6106), elapsed=11.6s
iter   80/300: games={'X': 10, 'O': 3, 'draw': 7}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.1150, value_loss_o=0.1632, policy_loss_o=0.5972, value_error_vs_solver=0.6044 (X=0.6238, O=0.5851), elapsed=10.9s
iter   81/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.1000, value_loss_o=0.1574, policy_loss_o=0.5898, value_error_vs_solver=0.5712 (X=0.6293, O=0.5131), elapsed=9.6s
iter   82/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.1000, value_loss_o=0.1580, policy_loss_o=0.5844, value_error_vs_solver=0.5745 (X=0.6155, O=0.5334), elapsed=9.7s
iter   83/300: games={'X': 8, 'O': 1, 'draw': 11}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.1000, value_loss_o=0.1512, policy_loss_o=0.5714, value_error_vs_solver=0.5663 (X=0.5940, O=0.5386), elapsed=14.7s
iter   84/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.0900, value_loss_o=0.1458, policy_loss_o=0.5619, value_error_vs_solver=0.6182 (X=0.6222, O=0.6142), elapsed=10.2s
iter   85/300: games={'X': 9, 'O': 2, 'draw': 9}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.0800, value_loss_o=0.1413, policy_loss_o=0.5509, value_error_vs_solver=0.5624 (X=0.5994, O=0.5254), elapsed=12.5s
iter   86/300: games={'X': 10, 'O': 0, 'draw': 10}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.0700, value_loss_o=0.1368, policy_loss_o=0.5410, value_error_vs_solver=0.5853 (X=0.5774, O=0.5931), elapsed=13.0s
iter   87/300: games={'X': 11, 'O': 0, 'draw': 9}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.0700, value_loss_o=0.1310, policy_loss_o=0.5261, value_error_vs_solver=0.5554 (X=0.5911, O=0.5198), elapsed=14.0s
iter   88/300: games={'X': 9, 'O': 3, 'draw': 8}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.0650, value_loss_o=0.1271, policy_loss_o=0.5161, value_error_vs_solver=0.5544 (X=0.5739, O=0.5348), elapsed=12.1s
iter   89/300: games={'X': 13, 'O': 0, 'draw': 7}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.0600, value_loss_o=0.1243, policy_loss_o=0.5070, value_error_vs_solver=0.5387 (X=0.5555, O=0.5220), elapsed=10.7s
iter   90/300: games={'X': 9, 'O': 1, 'draw': 10}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.0500, value_loss_o=0.1214, policy_loss_o=0.4979, value_error_vs_solver=0.5638 (X=0.5970, O=0.5306), elapsed=12.5s
iter   91/300: games={'X': 9, 'O': 3, 'draw': 8}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.0600, value_loss_o=0.1213, policy_loss_o=0.4890, value_error_vs_solver=0.5704 (X=0.6489, O=0.4919), elapsed=14.8s
iter   92/300: games={'X': 11, 'O': 3, 'draw': 6}, buffer_x=8000, buffer_o=8000, x_frozen=True, o_win_rate_rolling=0.0700, value_loss_o=0.1240, policy_loss_o=0.4810, value_error_vs_solver=0.5534 (X=0.6461, O=0.4607), elapsed=13.9s
