Loading solver states for value-error benchmarking...
iter   86/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0932, policy_loss=0.7065, value_error_vs_solver=0.4366, elapsed=3.1s
iter   87/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0990, policy_loss=0.7094, value_error_vs_solver=0.3775, elapsed=2.6s
iter   88/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.1035, policy_loss=0.7222, value_error_vs_solver=0.4261, elapsed=3.2s
iter   89/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.0890, policy_loss=0.7090, value_error_vs_solver=0.4204, elapsed=2.8s
iter   90/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0876, policy_loss=0.7254, value_error_vs_solver=0.4106, elapsed=2.4s
iter   91/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0859, policy_loss=0.7306, value_error_vs_solver=0.3801, elapsed=2.9s
iter   92/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer=8000, value_loss=0.0960, policy_loss=0.7222, value_error_vs_solver=0.4306, elapsed=3.6s
iter   93/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0907, policy_loss=0.7423, value_error_vs_solver=0.4082, elapsed=3.4s
iter   94/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.0924, policy_loss=0.7400, value_error_vs_solver=0.3712, elapsed=3.1s
iter   95/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0860, policy_loss=0.7319, value_error_vs_solver=0.4009, elapsed=3.8s
iter   96/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0856, policy_loss=0.7324, value_error_vs_solver=0.3915, elapsed=3.2s
iter   97/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.0831, policy_loss=0.7355, value_error_vs_solver=0.3938, elapsed=3.2s
iter   98/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0874, policy_loss=0.7361, value_error_vs_solver=0.4221, elapsed=2.6s
iter   99/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0879, policy_loss=0.7433, value_error_vs_solver=0.4396, elapsed=3.1s
iter  100/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0793, policy_loss=0.7506, value_error_vs_solver=0.3797, elapsed=3.0s
iter  101/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0877, policy_loss=0.7467, value_error_vs_solver=0.3716, elapsed=2.7s
iter  102/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0852, policy_loss=0.7458, value_error_vs_solver=0.3828, elapsed=2.9s
iter  103/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0843, policy_loss=0.7529, value_error_vs_solver=0.4150, elapsed=3.1s
iter  104/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0847, policy_loss=0.7583, value_error_vs_solver=0.3985, elapsed=2.7s
iter  105/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0894, policy_loss=0.7554, value_error_vs_solver=0.4375, elapsed=3.2s
iter  106/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0852, policy_loss=0.7683, value_error_vs_solver=0.3673, elapsed=3.3s
iter  107/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0787, policy_loss=0.7612, value_error_vs_solver=0.3767, elapsed=3.3s
iter  108/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0785, policy_loss=0.7705, value_error_vs_solver=0.3655, elapsed=3.0s
iter  109/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.0795, policy_loss=0.7479, value_error_vs_solver=0.4392, elapsed=3.9s
iter  110/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0805, policy_loss=0.7663, value_error_vs_solver=0.4000, elapsed=3.1s
iter  111/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0797, policy_loss=0.7677, value_error_vs_solver=0.4346, elapsed=3.0s
iter  112/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0732, policy_loss=0.7759, value_error_vs_solver=0.4364, elapsed=3.1s
iter  113/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.0735, policy_loss=0.7762, value_error_vs_solver=0.3721, elapsed=3.5s
iter  114/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.0747, policy_loss=0.7695, value_error_vs_solver=0.3942, elapsed=3.3s
iter  115/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0767, policy_loss=0.7772, value_error_vs_solver=0.3963, elapsed=3.4s
iter  116/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0696, policy_loss=0.7679, value_error_vs_solver=0.3909, elapsed=3.3s
iter  117/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0812, policy_loss=0.7674, value_error_vs_solver=0.4149, elapsed=2.8s
iter  118/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.0788, policy_loss=0.7714, value_error_vs_solver=0.4574, elapsed=3.4s
iter  119/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0788, policy_loss=0.7790, value_error_vs_solver=0.4099, elapsed=3.3s
iter  120/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0748, policy_loss=0.7735, value_error_vs_solver=0.3788, elapsed=2.9s
iter  121/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0786, policy_loss=0.7774, value_error_vs_solver=0.4194, elapsed=3.2s
iter  122/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0809, policy_loss=0.7753, value_error_vs_solver=0.4019, elapsed=3.2s
iter  123/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0783, policy_loss=0.7739, value_error_vs_solver=0.3788, elapsed=3.2s
