Loading solver states for value-error benchmarking...
Run 'twonet': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter   44/300: games={'X': 7, 'O': 1, 'draw': 12}, buffer_x=5440, buffer_o=4846, value_loss=0.2864, policy_loss=0.7496, value_error_vs_solver=0.6070 (X=0.5397, O=0.6743), elapsed=8.6s
iter   45/300: games={'X': 11, 'O': 1, 'draw': 8}, buffer_x=5563, buffer_o=4954, value_loss=0.2814, policy_loss=0.7439, value_error_vs_solver=0.5632 (X=0.5323, O=0.5941), elapsed=7.6s
iter   46/300: games={'X': 6, 'O': 6, 'draw': 8}, buffer_x=5678, buffer_o=5057, value_loss=0.2816, policy_loss=0.7382, value_error_vs_solver=0.5603 (X=0.5312, O=0.5895), elapsed=8.1s
iter   47/300: games={'X': 12, 'O': 3, 'draw': 5}, buffer_x=5781, buffer_o=5144, value_loss=0.2825, policy_loss=0.7387, value_error_vs_solver=0.5755 (X=0.5829, O=0.5681), elapsed=7.2s
iter   48/300: games={'X': 13, 'O': 2, 'draw': 5}, buffer_x=5886, buffer_o=5233, value_loss=0.2778, policy_loss=0.7353, value_error_vs_solver=0.5869 (X=0.5787, O=0.5950), elapsed=6.4s
iter   49/300: games={'X': 13, 'O': 2, 'draw': 5}, buffer_x=6002, buffer_o=5335, value_loss=0.2770, policy_loss=0.7330, value_error_vs_solver=0.5898 (X=0.5954, O=0.5842), elapsed=7.0s
iter   50/300: games={'X': 13, 'O': 4, 'draw': 3}, buffer_x=6094, buffer_o=5414, value_loss=0.2780, policy_loss=0.7294, value_error_vs_solver=0.5583 (X=0.5382, O=0.5784), elapsed=6.0s
iter   51/300: games={'X': 10, 'O': 2, 'draw': 8}, buffer_x=6219, buffer_o=5524, value_loss=0.2738, policy_loss=0.7265, value_error_vs_solver=0.6080 (X=0.6122, O=0.6038), elapsed=9.1s
iter   52/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer_x=6326, buffer_o=5614, value_loss=0.2742, policy_loss=0.7249, value_error_vs_solver=0.6021 (X=0.6030, O=0.6011), elapsed=6.4s
iter   53/300: games={'X': 11, 'O': 2, 'draw': 7}, buffer_x=6445, buffer_o=5719, value_loss=0.2719, policy_loss=0.7207, value_error_vs_solver=0.5409 (X=0.5168, O=0.5650), elapsed=7.1s
iter   54/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer_x=6553, buffer_o=5812, value_loss=0.2703, policy_loss=0.7196, value_error_vs_solver=0.5776 (X=0.6117, O=0.5436), elapsed=5.2s
iter   55/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer_x=6654, buffer_o=5897, value_loss=0.2705, policy_loss=0.7193, value_error_vs_solver=0.5981 (X=0.5474, O=0.6487), elapsed=5.6s
