Loading solver states for value-error benchmarking...
iter  152/300: games={'X': 18, 'O': 0, 'draw': 2}, examples=176, value_loss=0.1731, policy_loss=0.8731, value_error_vs_solver=0.5918, elapsed=5.7s
iter  153/300: games={'X': 13, 'O': 1, 'draw': 6}, examples=222, value_loss=0.1896, policy_loss=0.7202, value_error_vs_solver=0.5947, elapsed=6.6s
iter  154/300: games={'X': 14, 'O': 1, 'draw': 5}, examples=234, value_loss=0.1968, policy_loss=0.7329, value_error_vs_solver=0.5574, elapsed=8.3s
iter  155/300: games={'X': 13, 'O': 2, 'draw': 5}, examples=220, value_loss=0.2991, policy_loss=0.8037, value_error_vs_solver=0.6333, elapsed=6.9s
iter  156/300: games={'X': 16, 'O': 1, 'draw': 3}, examples=182, value_loss=0.2444, policy_loss=0.8965, value_error_vs_solver=0.6288, elapsed=7.6s
iter  157/300: games={'X': 15, 'O': 2, 'draw': 3}, examples=180, value_loss=0.2435, policy_loss=0.8192, value_error_vs_solver=0.6030, elapsed=5.0s
iter  158/300: games={'X': 15, 'O': 1, 'draw': 4}, examples=196, value_loss=0.1438, policy_loss=0.8843, value_error_vs_solver=0.5924, elapsed=5.6s
iter  159/300: games={'X': 14, 'O': 2, 'draw': 4}, examples=193, value_loss=0.2442, policy_loss=0.8740, value_error_vs_solver=0.5750, elapsed=6.4s
iter  160/300: games={'X': 16, 'O': 2, 'draw': 2}, examples=153, value_loss=0.3141, policy_loss=0.9162, value_error_vs_solver=0.5910, elapsed=4.1s
iter  161/300: games={'X': 11, 'O': 2, 'draw': 7}, examples=256, value_loss=0.2296, policy_loss=0.6875, value_error_vs_solver=0.5810, elapsed=6.7s
iter  162/300: games={'X': 15, 'O': 2, 'draw': 3}, examples=190, value_loss=0.2914, policy_loss=0.8925, value_error_vs_solver=0.5988, elapsed=5.3s
iter  163/300: games={'X': 13, 'O': 2, 'draw': 5}, examples=203, value_loss=0.2535, policy_loss=0.7482, value_error_vs_solver=0.5904, elapsed=5.9s
iter  164/300: games={'X': 15, 'O': 2, 'draw': 3}, examples=179, value_loss=0.4018, policy_loss=0.8799, value_error_vs_solver=0.6201, elapsed=4.1s
iter  165/300: games={'X': 17, 'O': 0, 'draw': 3}, examples=193, value_loss=0.1604, policy_loss=1.0348, value_error_vs_solver=0.6074, elapsed=15.7s
iter  166/300: games={'X': 10, 'O': 2, 'draw': 8}, examples=261, value_loss=0.1893, policy_loss=0.5709, value_error_vs_solver=0.5615, elapsed=5.7s
iter  167/300: games={'X': 15, 'O': 4, 'draw': 1}, examples=156, value_loss=0.5264, policy_loss=0.9412, value_error_vs_solver=0.5740, elapsed=2.7s
iter  168/300: games={'X': 16, 'O': 1, 'draw': 3}, examples=181, value_loss=0.2025, policy_loss=0.8308, value_error_vs_solver=0.5493, elapsed=3.6s
iter  169/300: games={'X': 14, 'O': 2, 'draw': 4}, examples=213, value_loss=0.2888, policy_loss=0.8974, value_error_vs_solver=0.5521, elapsed=4.6s
iter  170/300: games={'X': 19, 'O': 1, 'draw': 0}, examples=139, value_loss=0.2664, policy_loss=1.0912, value_error_vs_solver=0.6196, elapsed=2.5s
