Loading solver states for value-error benchmarking...
Run 'exploration': iterations=300, temperature_moves=20, noise_frac=0.4, teacher_side=None
iter   57/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.3353, policy_loss=0.9264, value_error_vs_solver=0.4892 (X=0.4872, O=0.4559), elapsed=4.9s
iter   58/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.3230, policy_loss=0.9229, value_error_vs_solver=0.4194 (X=0.4421, O=0.4636), elapsed=3.7s
iter   59/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.3124, policy_loss=0.9152, value_error_vs_solver=0.4371 (X=0.4079, O=0.4650), elapsed=4.8s
iter   60/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.3086, policy_loss=0.9085, value_error_vs_solver=0.4487 (X=0.4626, O=0.4048), elapsed=3.3s
iter   61/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.3052, policy_loss=0.9153, value_error_vs_solver=0.5140 (X=0.5908, O=0.4289), elapsed=3.1s
iter   62/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.2973, policy_loss=0.9152, value_error_vs_solver=0.4646 (X=0.4541, O=0.4516), elapsed=2.6s
iter   63/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer=8000, value_loss=0.2871, policy_loss=0.9047, value_error_vs_solver=0.4429 (X=0.4412, O=0.4202), elapsed=5.4s
iter   64/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.2791, policy_loss=0.8951, value_error_vs_solver=0.4979 (X=0.4692, O=0.4112), elapsed=3.0s
iter   65/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.2795, policy_loss=0.9100, value_error_vs_solver=0.4535 (X=0.4377, O=0.4483), elapsed=4.2s
iter   66/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.2824, policy_loss=0.8990, value_error_vs_solver=0.4084 (X=0.3717, O=0.3665), elapsed=2.4s
iter   67/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.2817, policy_loss=0.8937, value_error_vs_solver=0.4311 (X=0.4760, O=0.4447), elapsed=4.7s
iter   68/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.2822, policy_loss=0.8996, value_error_vs_solver=0.4703 (X=0.4264, O=0.4438), elapsed=5.1s
iter   69/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer=8000, value_loss=0.2816, policy_loss=0.8879, value_error_vs_solver=0.4307 (X=0.4446, O=0.4618), elapsed=7.1s
iter   70/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.2731, policy_loss=0.8903, value_error_vs_solver=0.4320 (X=0.4548, O=0.4264), elapsed=5.5s
iter   71/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer=8000, value_loss=0.2748, policy_loss=0.8844, value_error_vs_solver=0.4372 (X=0.4631, O=0.4765), elapsed=5.9s
iter   72/300: games={'X': 17, 'O': 3, 'draw': 0}, buffer=8000, value_loss=0.2873, policy_loss=0.8831, value_error_vs_solver=0.4250 (X=0.4189, O=0.4153), elapsed=5.0s
iter   73/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.2743, policy_loss=0.8860, value_error_vs_solver=0.4017 (X=0.4642, O=0.4080), elapsed=3.5s
iter   74/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.2701, policy_loss=0.8778, value_error_vs_solver=0.4556 (X=0.4068, O=0.4500), elapsed=2.7s
iter   75/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.2773, policy_loss=0.8798, value_error_vs_solver=0.4544 (X=0.4064, O=0.4566), elapsed=2.2s
iter   76/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.2611, policy_loss=0.8865, value_error_vs_solver=0.4531 (X=0.5841, O=0.4539), elapsed=5.7s
iter   77/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.2504, policy_loss=0.8690, value_error_vs_solver=0.3877 (X=0.4328, O=0.4067), elapsed=3.4s
iter   78/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.2466, policy_loss=0.8679, value_error_vs_solver=0.4740 (X=0.5253, O=0.5420), elapsed=3.8s
iter   79/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer=8000, value_loss=0.2504, policy_loss=0.8775, value_error_vs_solver=0.5007 (X=0.5128, O=0.4227), elapsed=4.5s
iter   80/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.2338, policy_loss=0.8756, value_error_vs_solver=0.4071 (X=0.4347, O=0.4810), elapsed=4.0s
iter   81/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.2413, policy_loss=0.8714, value_error_vs_solver=0.4383 (X=0.3911, O=0.4188), elapsed=3.0s
iter   82/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.2388, policy_loss=0.8765, value_error_vs_solver=0.4136 (X=0.4675, O=0.4062), elapsed=3.0s
iter   83/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer=8000, value_loss=0.2341, policy_loss=0.8816, value_error_vs_solver=0.4548 (X=0.4566, O=0.3816), elapsed=6.9s
iter   84/300: games={'X': 17, 'O': 3, 'draw': 0}, buffer=8000, value_loss=0.2319, policy_loss=0.8692, value_error_vs_solver=0.4471 (X=0.4689, O=0.4259), elapsed=2.6s
iter   85/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.2320, policy_loss=0.8676, value_error_vs_solver=0.3876 (X=0.4278, O=0.4201), elapsed=2.5s
iter   86/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.2242, policy_loss=0.8763, value_error_vs_solver=0.4091 (X=0.3892, O=0.4314), elapsed=4.1s
iter   87/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.2211, policy_loss=0.8654, value_error_vs_solver=0.4325 (X=0.4235, O=0.4060), elapsed=2.4s
iter   88/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.2340, policy_loss=0.8605, value_error_vs_solver=0.3888 (X=0.4139, O=0.4157), elapsed=4.8s
iter   89/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.2300, policy_loss=0.8658, value_error_vs_solver=0.4904 (X=0.4063, O=0.4131), elapsed=2.5s
iter   90/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.2241, policy_loss=0.8735, value_error_vs_solver=0.4216 (X=0.4028, O=0.3995), elapsed=4.4s
iter   91/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.2334, policy_loss=0.8752, value_error_vs_solver=0.4827 (X=0.4046, O=0.4493), elapsed=2.7s
iter   92/300: games={'X': 17, 'O': 3, 'draw': 0}, buffer=8000, value_loss=0.2191, policy_loss=0.8721, value_error_vs_solver=0.4072 (X=0.3433, O=0.4429), elapsed=2.8s
iter   93/300: games={'X': 15, 'O': 4, 'draw': 1}, buffer=8000, value_loss=0.2218, policy_loss=0.8694, value_error_vs_solver=0.3957 (X=0.4801, O=0.3766), elapsed=2.9s
iter   94/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.2288, policy_loss=0.8769, value_error_vs_solver=0.4435 (X=0.4386, O=0.4322), elapsed=2.3s
iter   95/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.2174, policy_loss=0.8738, value_error_vs_solver=0.3865 (X=0.4516, O=0.4564), elapsed=4.5s
iter   96/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.2246, policy_loss=0.8782, value_error_vs_solver=0.4436 (X=0.3968, O=0.3746), elapsed=2.8s
iter   97/300: games={'X': 16, 'O': 4, 'draw': 0}, buffer=8000, value_loss=0.2246, policy_loss=0.8857, value_error_vs_solver=0.4230 (X=0.4468, O=0.4352), elapsed=2.7s
iter   98/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.2224, policy_loss=0.8800, value_error_vs_solver=0.3789 (X=0.3806, O=0.3926), elapsed=3.5s
iter   99/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.2176, policy_loss=0.8849, value_error_vs_solver=0.4517 (X=0.4718, O=0.4458), elapsed=3.0s
iter  100/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.2211, policy_loss=0.8850, value_error_vs_solver=0.4130 (X=0.3505, O=0.4155), elapsed=2.8s
iter  101/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.2277, policy_loss=0.8767, value_error_vs_solver=0.3776 (X=0.4472, O=0.4521), elapsed=5.2s
iter  102/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.2279, policy_loss=0.8853, value_error_vs_solver=0.4083 (X=0.3938, O=0.3993), elapsed=4.1s
iter  103/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.2186, policy_loss=0.8848, value_error_vs_solver=0.4323 (X=0.3741, O=0.3581), elapsed=6.9s
iter  104/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.2221, policy_loss=0.8832, value_error_vs_solver=0.3963 (X=0.4340, O=0.4003), elapsed=3.4s
iter  105/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.2171, policy_loss=0.8869, value_error_vs_solver=0.3836 (X=0.4198, O=0.3942), elapsed=4.6s
iter  106/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.2232, policy_loss=0.8783, value_error_vs_solver=0.4357 (X=0.4940, O=0.3972), elapsed=5.0s
iter  107/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.2168, policy_loss=0.8861, value_error_vs_solver=0.3882 (X=0.4670, O=0.4326), elapsed=4.5s
iter  108/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.2197, policy_loss=0.8695, value_error_vs_solver=0.3698 (X=0.4245, O=0.3834), elapsed=3.4s
iter  109/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer=8000, value_loss=0.2263, policy_loss=0.8794, value_error_vs_solver=0.4421 (X=0.4303, O=0.4340), elapsed=5.8s
iter  110/300: games={'X': 17, 'O': 3, 'draw': 0}, buffer=8000, value_loss=0.2264, policy_loss=0.8768, value_error_vs_solver=0.3675 (X=0.4030, O=0.3133), elapsed=2.9s
iter  111/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.2272, policy_loss=0.8771, value_error_vs_solver=0.4379 (X=0.4243, O=0.4044), elapsed=3.0s
iter  112/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.2138, policy_loss=0.8735, value_error_vs_solver=0.4113 (X=0.4263, O=0.3804), elapsed=3.7s
iter  113/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.2208, policy_loss=0.8748, value_error_vs_solver=0.3890 (X=0.4067, O=0.4188), elapsed=3.2s
iter  114/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.2180, policy_loss=0.8882, value_error_vs_solver=0.4237 (X=0.3594, O=0.3867), elapsed=2.2s
iter  115/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.2133, policy_loss=0.8842, value_error_vs_solver=0.4179 (X=0.3790, O=0.3940), elapsed=4.5s
iter  116/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.2068, policy_loss=0.8859, value_error_vs_solver=0.4049 (X=0.4231, O=0.4281), elapsed=2.9s
iter  117/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.2079, policy_loss=0.8819, value_error_vs_solver=0.4175 (X=0.4203, O=0.3966), elapsed=4.8s
iter  118/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.2138, policy_loss=0.8894, value_error_vs_solver=0.4086 (X=0.3690, O=0.3751), elapsed=3.1s
iter  119/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.2013, policy_loss=0.8820, value_error_vs_solver=0.3908 (X=0.4447, O=0.4193), elapsed=4.2s
iter  120/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.2090, policy_loss=0.8817, value_error_vs_solver=0.4067 (X=0.4077, O=0.4007), elapsed=3.9s
iter  121/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.1992, policy_loss=0.8862, value_error_vs_solver=0.3693 (X=0.4345, O=0.3786), elapsed=4.0s
iter  122/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.1882, policy_loss=0.8899, value_error_vs_solver=0.4404 (X=0.3841, O=0.4016), elapsed=2.5s
iter  123/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer=8000, value_loss=0.1874, policy_loss=0.8945, value_error_vs_solver=0.3639 (X=0.4367, O=0.4120), elapsed=4.5s
iter  124/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1833, policy_loss=0.8876, value_error_vs_solver=0.3880 (X=0.3521, O=0.3874), elapsed=3.1s
iter  125/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1812, policy_loss=0.8892, value_error_vs_solver=0.4242 (X=0.3705, O=0.4069), elapsed=3.1s
iter  126/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.1759, policy_loss=0.8916, value_error_vs_solver=0.3891 (X=0.4493, O=0.3344), elapsed=2.5s
