Loading solver states for value-error benchmarking...
Run 'o_compute': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=2
iter  107/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0651, policy_loss=0.7581, value_error_vs_solver=0.4283 (X=0.5205, O=0.4255), elapsed=5.0s
iter  108/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0514, policy_loss=0.7567, value_error_vs_solver=0.4525 (X=0.4346, O=0.4273), elapsed=6.4s
iter  109/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0599, policy_loss=0.7559, value_error_vs_solver=0.4079 (X=0.4629, O=0.4090), elapsed=6.2s
iter  110/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0553, policy_loss=0.7597, value_error_vs_solver=0.4540 (X=0.4724, O=0.4242), elapsed=5.0s
iter  111/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.0529, policy_loss=0.7646, value_error_vs_solver=0.4475 (X=0.4251, O=0.4600), elapsed=5.3s
iter  112/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0532, policy_loss=0.7616, value_error_vs_solver=0.4733 (X=0.3781, O=0.4452), elapsed=5.9s
iter  113/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0529, policy_loss=0.7777, value_error_vs_solver=0.4769 (X=0.4236, O=0.4235), elapsed=5.0s
iter  114/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0533, policy_loss=0.7578, value_error_vs_solver=0.4410 (X=0.5240, O=0.4126), elapsed=6.5s
iter  115/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0589, policy_loss=0.7608, value_error_vs_solver=0.4127 (X=0.4963, O=0.4179), elapsed=5.5s
iter  116/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0579, policy_loss=0.7671, value_error_vs_solver=0.3861 (X=0.4640, O=0.3730), elapsed=6.4s
iter  117/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0533, policy_loss=0.7600, value_error_vs_solver=0.4314 (X=0.4788, O=0.4968), elapsed=5.2s
iter  118/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0553, policy_loss=0.7693, value_error_vs_solver=0.4427 (X=0.4167, O=0.3982), elapsed=4.5s
iter  119/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0556, policy_loss=0.7771, value_error_vs_solver=0.4215 (X=0.4006, O=0.4872), elapsed=4.3s
iter  120/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0578, policy_loss=0.7558, value_error_vs_solver=0.3962 (X=0.5140, O=0.4967), elapsed=7.5s
iter  121/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0556, policy_loss=0.7571, value_error_vs_solver=0.3787 (X=0.4604, O=0.4420), elapsed=6.4s
iter  122/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.0607, policy_loss=0.7507, value_error_vs_solver=0.3927 (X=0.3267, O=0.4281), elapsed=5.3s
iter  123/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.0657, policy_loss=0.7596, value_error_vs_solver=0.4311 (X=0.4845, O=0.4134), elapsed=5.6s
iter  124/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0692, policy_loss=0.7692, value_error_vs_solver=0.4601 (X=0.3668, O=0.4466), elapsed=4.8s
iter  125/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0715, policy_loss=0.7527, value_error_vs_solver=0.4334 (X=0.4204, O=0.3843), elapsed=5.2s
iter  126/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0702, policy_loss=0.7672, value_error_vs_solver=0.4474 (X=0.5146, O=0.4261), elapsed=4.3s
iter  127/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0694, policy_loss=0.7616, value_error_vs_solver=0.4203 (X=0.3399, O=0.4045), elapsed=4.8s
iter  128/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0689, policy_loss=0.7635, value_error_vs_solver=0.3938 (X=0.4400, O=0.4631), elapsed=4.3s
iter  129/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.0716, policy_loss=0.7714, value_error_vs_solver=0.4770 (X=0.4241, O=0.4450), elapsed=7.3s
iter  130/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0672, policy_loss=0.7698, value_error_vs_solver=0.4301 (X=0.4403, O=0.4340), elapsed=5.2s
iter  131/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0720, policy_loss=0.7808, value_error_vs_solver=0.4279 (X=0.4214, O=0.4635), elapsed=4.8s
iter  132/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0671, policy_loss=0.7785, value_error_vs_solver=0.4465 (X=0.3765, O=0.5689), elapsed=4.6s
iter  133/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0680, policy_loss=0.7756, value_error_vs_solver=0.4666 (X=0.4454, O=0.4558), elapsed=4.5s
iter  134/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.0724, policy_loss=0.7738, value_error_vs_solver=0.4314 (X=0.4542, O=0.4457), elapsed=4.7s
iter  135/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0667, policy_loss=0.7828, value_error_vs_solver=0.4433 (X=0.4081, O=0.4256), elapsed=5.5s
iter  136/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0692, policy_loss=0.7853, value_error_vs_solver=0.4790 (X=0.3914, O=0.4081), elapsed=4.7s
